"","Model","Price","Manufacturer","Year"
"1","4runner Trd Pro 4x4 Gas",53570.4285714286,"Toyota",2018
"2","Gr Supra",53815.48,"Toyota",2020
"3","Gr Supra 3.0 Premium Auto (Natl)",54494,"Toyota",2020
"4","Gt-R",75468.2727272727,"Nissan",2017
"5","Gtr",90300,"Nissan",2018
"6","Gtr Vspec 2",54995,"Nissan",1994
"7","Gx570",69155,"Lexus",2018
"8","Lc",70496.6666666667,"Lexus",2018
"9","Lc 500",81444,"Lexus",2018
"10","Lc500 Coupe",69900,"Lexus",2018
"11","Lifted Tundra Limited 4x4",51999,"Toyota",2017
"12","Lifted Tundra Limited Trd",51999,"Toyota",2018
"13","Ls 500 F-Sport",61991,"Lexus",2018
"14","Ls500",61988,"Lexus",2019
"15","Nsx Advance Flatout",76499,"Acura",1991
"16","Odyssey Ex-L W/Navi/Res Auto",53999,"Honda",2019
"17","Odyssey Ex Wheelchair Van",58350,"Honda",2020
"18","Sequoia Limited Rwd (Natl)",55999,"Toyota",2020
"19","Sequoia Platinum 4wd (Natl)",51999,"Toyota",2019
"20","Sequoia Platinum 4x4 Gas",54570.5714285714,"Toyota",2018
"21","Skyline R33 Gtr",72900,"Nissan",1995
"22","Supra Gr Rwd Gas Coupe",54999,"Toyota",2020
"23","Tacoma Trd Pro 4x4 Gas",52999,"Toyota",2019
"24","Tundra ** Trd Pro ** 4wd V8 All Custom & Many Extras",59990,"Toyota",2016
"25","Tundra Lifted Limited Crew Max 4x4 Iforce V8",56995,"Toyota",2019
"26","Tundra Limited Trd Off",51999,"Toyota",2018
